Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2010","2010","ha","2904035","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2011","2011","ha","3747838","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2012","2012","ha","3696300","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2013","2013","ha","4863801","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2014","2014","ha","4836655","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2015","2015","ha","4626880","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2016","2016","ha","5346593","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2017","2017","ha","6530673","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2018","2018","ha","7138620","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","2019","2019","ha","7232761","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1961","1961","tonnes","4850000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1962","1962","tonnes","5220000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1963","1963","tonnes","4360000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1964","1964","tonnes","5350000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1965","1965","tonnes","5140000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1966","1966","tonnes","7040000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1967","1967","tonnes","8510000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1968","1968","tonnes","6560000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1969","1969","tonnes","6860000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1970","1970","tonnes","9360000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1971","1971","tonnes","9930000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1972","1972","tonnes","5860000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1973","1973","tonnes","9700000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1974","1974","tonnes","9900000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1975","1975","tonnes","7700000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1976","1976","tonnes","5855000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1977","1977","tonnes","8300000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1978","1978","tonnes","9700000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1979","1979","tonnes","8700000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1980","1980","tonnes","6400000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1981","1981","tonnes","12900000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1982","1982","tonnes","9600000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1983","1983","tonnes","9000000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1984","1984","tonnes","9500000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1985","1985","tonnes","11900000","","Official data"
